timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,grpThreads,allThreads,URL,Latency,Connect
1676067246369,561,/images-US/tarot/back/daily-tarot-love.png,200,OK,Tarot Index Pages - Thread Group 1-11,bin,true,,22,22,https://dev.horoscope.com/images-US/tarot/back/daily-tarot-love.png,156,0
1676067246340,591,/images-US/upsell/compatibility-score.jpg,200,OK,Tarot Index Pages - Thread Group 1-3,bin,true,,21,21,https://dev.horoscope.com/images-US/upsell/compatibility-score.jpg,157,0
1676067246381,562,/images-US/tarot/back/weekly-tuesday.png,200,OK,Tarot Index Pages - Thread Group 1-2,bin,true,,20,20,https://dev.horoscope.com/images-US/tarot/back/weekly-tuesday.png,155,0
1676067246321,696,/images-US/tarot/back/true-love-your-card.png,200,OK,Tarot Index Pages - Thread Group 1-8,bin,true,,19,19,https://dev.horoscope.com/images-US/tarot/back/true-love-your-card.png,157,1
1676067246445,673,/images-US/tarot/back/white-magic-cause.png,200,OK,Tarot Index Pages - Thread Group 1-6,bin,true,,18,18,https://dev.horoscope.com/images-US/tarot/back/white-magic-cause.png,172,1
1676067246580,562,/images-US/tarot/back/weekly-sunday.png,200,OK,Tarot Index Pages - Thread Group 1-10,bin,true,,17,17,https://dev.horoscope.com/images-US/tarot/back/weekly-sunday.png,159,0
1676067246578,568,/images-US/tarot/back/lovers-triangle-lover2.png,200,OK,Tarot Index Pages - Thread Group 1-13,bin,true,,16,16,https://dev.horoscope.com/images-US/tarot/back/lovers-triangle-lover2.png,158,0
1676067246625,594,/images-US/tarot/back/daily-tarot-career.png,200,OK,Tarot Index Pages - Thread Group 1-18,bin,true,,15,15,https://dev.horoscope.com/images-US/tarot/back/daily-tarot-career.png,162,1
1676067246644,583,/images-US/tarot/back/gems-oracle-health.png,200,OK,Tarot Index Pages - Thread Group 1-1,bin,true,,14,14,https://dev.horoscope.com/images-US/tarot/back/gems-oracle-health.png,154,0
1676067246664,573,/images-US/tarot/back/gems-oracle-career.png,200,OK,Tarot Index Pages - Thread Group 1-22,bin,true,,13,13,https://dev.horoscope.com/images-US/tarot/back/gems-oracle-career.png,157,3
1676067246633,655,/images-US/upsell/crystal-ball-tarot.jpg,200,OK,Tarot Index Pages - Thread Group 1-16,bin,true,,12,12,https://dev.horoscope.com/images-US/upsell/crystal-ball-tarot.jpg,160,0
1676067246745,583,/images-US/tarot/back/white-magic-remedy.png,200,OK,Tarot Index Pages - Thread Group 1-4,bin,true,,11,11,https://dev.horoscope.com/images-US/tarot/back/white-magic-remedy.png,156,0
1676067246748,589,/images-US/tarot/back/weekly-wednesday.png,200,OK,Tarot Index Pages - Thread Group 1-5,bin,true,,10,10,https://dev.horoscope.com/images-US/tarot/back/weekly-wednesday.png,169,1
1676067246770,567,/images-US/tarot/back/breakup-advice.png,200,OK,Tarot Index Pages - Thread Group 1-21,bin,true,,10,10,https://dev.horoscope.com/images-US/tarot/back/breakup-advice.png,158,1
1676067246786,597,/images-US/tarot/back/weekly-thursday.png,200,OK,Tarot Index Pages - Thread Group 1-7,bin,true,,8,8,https://dev.horoscope.com/images-US/tarot/back/weekly-thursday.png,181,0
1676067246818,599,/images-US/tarot/back/weekly-friday.png,200,OK,Tarot Index Pages - Thread Group 1-9,bin,true,,7,7,https://dev.horoscope.com/images-US/tarot/back/weekly-friday.png,157,0
1676067246785,646,/images-US/tarot/back/daily-tarot-mood.png,200,OK,Tarot Index Pages - Thread Group 1-17,bin,true,,6,6,https://dev.horoscope.com/images-US/tarot/back/daily-tarot-mood.png,182,1
1676067246784,683,/images-US/upsell/guardian-angel-tarot.jpg,200,OK,Tarot Index Pages - Thread Group 1-20,bin,true,,5,5,https://dev.horoscope.com/images-US/upsell/guardian-angel-tarot.jpg,160,1
1676067246785,690,/images-US/upsell/2023-love-tarot.jpg,200,OK,Tarot Index Pages - Thread Group 1-19,bin,true,,4,4,https://dev.horoscope.com/images-US/upsell/2023-love-tarot.jpg,158,0
1676067246786,736,/images-US/tarot/back/true-love-partners-card.png,200,OK,Tarot Index Pages - Thread Group 1-14,bin,true,,3,3,https://dev.horoscope.com/images-US/tarot/back/true-love-partners-card.png,181,0
1676067246894,656,/images-US/tarot/back/yinyang-yang.png,200,OK,Tarot Index Pages - Thread Group 1-12,bin,true,,2,2,https://dev.horoscope.com/images-US/tarot/back/yinyang-yang.png,173,1
1676067246518,1064,/article/sagittarius-rising-celebrities/,200,OK,Tarot Index Pages - Thread Group 1-15,text,true,,1,1,https://dev.horoscope.com/article/sagittarius-rising-celebrities/,156,0
